text;Jenis
APETIC FORTE SUSPENSI 250 MG / 5 ML PER BOTOL @ 60 ML KOMPOSISI : Tiap 5 ml forte suspensi mengandung paracetamol micronized 250 mg. INDIKASI : Menurunkan Demam, termasuk demam yang menyertai flu dan demam setelah vaksinasi atau imunisasi serta meringankan rasa sakit seperti sakita kepala dan sakit gigi. ATURAN PAKAI : Gunakan 3-4 kali sehari 6 - 12 tahun : 5 - 10 ml 12 tahun keatas : 10 ml atau sesuai petunjuk dokter.;Analgesik, Antipiretik
"SANMOL TABLET PARACETAMOL 500 MG & SANMOL FORTE TABLET STRIP 4 TABLET - SANMOL TABLET SANMOL TABLET 500 MG amp; SANMOL FORTE TABLET650 MG ED : 03/2026 SANMOL mengandung Parasetamol yang bekerja sebagai analgesik, bekerja dengan meningkatkan ambang rangsang rasa sakit dan sebagai antipiretik, diduga bekerja langsung pada pusat pengatur panas dihipotalamus. Indikasi SANMOL diindikasikan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi, dan menurunkan demam. Khasiat : Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam. Cara Pakai : Dewasa : 1 tablet, 3 - 4 kali sehari Anak 6 - 12 tahun : 1/2 tablet, 3 -4 kali sehari Atau sesuai petunjuk dokter Komposisi : Sanmol Tablet = Parasetamol 500 mg Sanmol Forte = Parasetamol 650 mg Kemasan : Strip isi 4 tablet Produksi : PT Caprifarmindo Labs";Analgesik, Antipiretik
"PARACETAMOL PIM 500 MG BOTOL 100 KAPLET Deskripsi:
Merupakan obat dengan kandungan paracetamol yang digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Komposisi:
Tiap kaplet mengandung paracetamol 500 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari.Anak < 1 tahun: 60 mg, 3-4 kali sehari.Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
BOTOL PLASTIK @ 100 KAPLET
NIE:
GBL9718905104A1
Golongan:
Obat Bebas";Analgesik, Antipiretik
"PARACETAMOL MEF 500 MG BOX 100 TABLET Deskripsi:
Merupakan obat analgesik-antipiretik yang dapat digunakan untuk menurunkan demam, meredakan nyeri seperti sakit gigi dan sakit kepala.
Komposisi:
Tiap kaplet mengandung paracetamol 500 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari.Anak < 1 tahun: 60 mg, 3-4 kali sehari.Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Analgesik-antipiretik yang dapat digunakan untuk menurunkan demam, meredakan nyeri seperti sakit gigi dan sakit kepala.
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
Dus, 10 strip @ 10 tablet
NIE:
GBL8715201504A2
Golongan:
Obat Bebas";Analgesik, Antipiretik
paracetamol 500mg box 100 tablet satu box isi 100 tablet;Analgesik, Antipiretik
PANADOL CAPLET BLISTER 10 TABLET KANDUNGAN/KOMPOSISI Paracetamol 500 mg KONTRAINDIKASI // JANGAN DIGUNAKAN OLEH hipersensitif terhadap paracetamol dan penderita gangguan fungsi hati. DOSIS Dewasa dan anak usia lebih dari 12 tahun : 1 - 2 kaplet, 3-4 kali sehari (Maksimum 8 kaplet dalam 24 jam). Anak-anak usia 6-11 tahun : 1/2 - 1 kaplet, 3-4 kali sehari (maksimum 4 kaplet dalam 24 jam). Tidak dianjurkan penggunaan pada anak kurang dari 6 tahun. Minimum interval penggunaan dosis adalah 4 jam. Jangan melebihi dosis yang dianjurkan, atau menurut aturan dokter. CARA PEMAKAIAN sebelum atau sesudah makan. INDIKASI/ KEGUNAAN meredakan sakit kepala, sakit gigi, sakit pada otot, nyeri yang mengganggu dan menurunkan demam yang menyertai flu/influensa serta demam sesudah vaksinasi. MANUFAKTUR STERLING PRODUCTS INDONESIA KEMASAN 1 Blister @10 Kaplet CARA PENYIMPANAN Sejuk dan Kering PERLU RESEP Tidak GOLONGAN Obat Bebas PERHATIAN KHUSUS penderita penyakit ginjal, penggunaan pada penderita yang mengkonsumsi alkohol, dapat meningkatkan risiko kerusakan fungsi hati. EFEK SAMPING reaksi hipersensitifitas seperti kemerahan atau gatal pada kulit, kulit terkelupas, kadang-kadang gangguan pernafasan atau bengkak pada bibir, lidah, tenggorokan, sariawan, memar-memar, pendarahan. DESKRIPSI PANADOL merupakan obat dengan kandungan Paracetamol yang dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, sakit pada otot dan menurunkan demam. NIE DBL9624502804A1;Analgesik, Antipiretik
1 Box Paracetamol Triman isi 100 kaplet 1 box Paracetamol kaplet Triman 500mg. Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi, dan menurunkan demam;Analgesik, Antipiretik
"PANADOL MERAH EXTRA 1 STRIP ISI 10 TABLET PANADOL MERAH EXTRA 1 STRIP ISI 10 TABLET
BPOM : DBL9424502004A1
EXP : 06-2026
Panadol Merah Extra dapat meredakan sakit kepala, sakit gigi, sakit pada otot, nyeri yang mengganggu dan menurunkan demam secara cepat dan efektif.
Mengapa Memilih Panadol Extra ?
Dengan formula Extra, efektif meredakan sakit kepala tak tertahankan, sakit gigi, dan nyeri yang mengganggu.
Tidak menyebabkan kantuk.
Halal
Dosis :
Dewasa & Anak-anak 12 tahun : 1 kaplet, ditelan dengan segelas air, 3-4 kali bila gejala memburuk.
Tidak melebihi 8 kaplet dalam 24 jam.
Perhatian :
Jangan diberikan kepada anak-anak di bawah umur 12 tahun, kecuali di bawah pengawasan dokter.
Minimum interval penggunaan dosis adalah 4 jam.
Jangan melebihi dosis yang dianjurkan.
Komposisi :
Paracetamol 500 mg, Caffeine 65 mg";Analgesik, Antipiretik
"sanmol syrup Tiap 5 ml mengandung :
Paracetamol 120 mg
Kegunaan :
- meringankan rasa sakit pada keadaan sakit kepala
- menurunkan demam
- sakit gigi
Aturan pakai :
Dapat digunakan 3-4 kali sehari
(Dosis tertera pada gambar)
Barang yang dijual 100% original
Barang tidak Kadaluarsa
Info ketersediaan produk silahkan chat terlebih dahulu";Analgesik, Antipiretik
"NOVAGESIC BOX ISI 100 KAPLET Deskripsi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Komposisi:
Tiap kaplet mengandung paracetamol 500 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari.Anak < 1 tahun: 60 mg, 3-4 kali sehari.Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
Dus, 10 strip @ 10 kaplet
NIE:
DBL0334001704A2
Golongan:
Obat Bebas";Analgesik, Antipiretik
Panadol Extra ( merah ) - 1 box (100 kapsul) Panadol Extra - 1 box ( isi 10 blister @ 10 kapsul) No reg. POM DBL 9424502004A1 Produk Original dari PT GSK Indonesia Berfungsi meredakan sakit kepala dan sakit gigi. Tiap tablet Mengandung 500 mg paracetamol dan 65 mg kafein.;Analgesik, Antipiretik
"PARACETAMOL MERSIFARMA 500 MG STRIP 10 TABLET Deskripsi:
Obat ini digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Komposisi:
Tiap tablet mengandung paracetamol 500 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari.Anak < 1 tahun: 60 mg, 3-4 kali sehari.Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
Strp,10 Kaplet
NIE:
GBL1533312610A1
Golongan:
Obat Bebas";Analgesik, Antipiretik
"PARACETAMOL TRIFA 500 MG BOX 100 KAPLET Deskripsi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Komposisi:
Tiap tablet mengandung paracetamol 500 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari. Anak < 1 tahun: 60 mg, 3-4 kali sehari. Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
DUS, 10 STRIP @ 10 KAPLET
NIE:
GBL2225805704A1
Golongan:
Obat Bebas";Analgesik, Antipiretik
"SANMOL SYRUP ISI 60 ML BOTOL Deskripsi:
Sanmol merupakan obat yang digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Komposisi:
Tiap 5 mL sirup mengandung paracetamol 120 mg
Dosis:
Anak 0-1 tahun: 1/2 sendok takar, 3-4 kali perhari.Anak 1-2 tahun: 1 sendok takar, 3-4 kali perhari.Anak 2-6 tahun: 1-2 sendok takar , 3-4 kali perhari.Anak 6-9 tahun: 2-3 sendok takar,3-4 kali perhari.Anak 9-12 tahun: 3-4 sendok takar, 3-4 kali perhari.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
Botol 60 mL sirup
NIE:
DBL7622235037A1
Golongan:
Obat Bebas";Analgesik, Antipiretik
"Panadol Syrup Child Paracetamol Sirup Anak Singapore Panadol syrup for children aged between 1 to 12yrs......60ml.....setelah packing kurang lebih 250gms ya.
Hati2 beli panadol ya kerana ada banyak yg palsu. Di toko kita semua barang 1000% asli Barang Singapore dan barang dari negara lain itu beda nya di kekuatan nya ya. Erti nya kalau yg minum panadol dari spore sedikit aja udah cukup bandingan dengan negara2 yg lain ya
Kerusakan box atau penyok atau botol pecah, bocor akibat pengiriman bukan tanggung jawab kami ya...... no komplain and no return....terima kasih
Lebih baik pakai asuransi waktu pesan ya....
Kalau sudah pesan erti nya setuju dengan syarat2 nya ya.";Analgesik, Antipiretik
"FASGO FORTE STRIP 10 KAPLET Deskripsi:
Fasgo merupakan obat analgesik-antipiretik yang dapat digunakan untuk menurunkan demam, meredakan nyeri seperti sakit gigi dan sakit kepala.
Komposisi:
Tiap kaplet mengandung paracetamol 650 mg
Dosis:
Dewasa: 0.5-1 gram, 3-4 kali sehari, maksimal 4 gram per hari.Anak < 1 tahun: 60 mg, 3-4 kali sehari.Anak 1-6 tahun: 125 mg, 3-4 kali sehari, maksimal 750 mg per hari. Anak 7-12 tahun: 250 mg, 3-4 kali sehari, maksimal 1 gram per hari.
Indikasi:
Digunakan untuk meringankan rasa sakit seperti sakit gigi, sakit kepala, dan menurunkan demam
Perhatian Khusus:
Hati-hati penggunaan pada pasien dengan defisiensi G6PD; alkoholisme kronis atau kekurangan gizi. Gangguan ginjal dan hati. Neonatus dan anak-anak. Kehamilan dan menyusui.
Kemasan:
Strip 10 kaplet
NIE:
DBL1028405304A1
Golongan:
Obat Bebas";Analgesik, Antipiretik
1 Box / Pak Bodrexin tab Harga tercantum adalah untuk 1box besar isi 12box kecil, minimal 5 box Link untuk 1 box https://www.tokopedia.com/msmandiri/1-box-bodrexin-tab BODREXIN merupakan tablet kunyah dengan kandungan Asam Asetilsalisilat. Obat ini digunakan untuk menurunkan panas, meredakan rasa nyeri, dan demam setelah imunisasi pada anak.;Analgesik, Antipiretik
"Biogesic 500 mg 4 Tablet - Obat Pereda Demam & Nyeri - Halodoc Deskripsi
BIOGESIC merupakan obat dengan kandungan Paracetamol 500 mg. Obat ini dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam. Obat ini bekerja sebagai analgesik dengan meningkatkan ambang rangsangan sakit serta sebagai antipiretik yang diduga bekerja langsung pada pusat pengatur panas di hipotalamus.
Indikasi Umum
Meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam.
Komposisi
Paracetamol 500 mg
Dosis
Dewasa: 1 - 3 kaplet, 3 sampai 4 kali per hari.
Anak (6 - 12 tahun): 0.5 - 1 kaplet, 3 sampai 4 kali per hari.
Atau sesuai petunjuk dokter
Produsen
Darya Varia Laboratoria
Satuan Jual
1 Strip : 4 Tablet
Expiry Date
Tanggal ED Produk bisa berbeda sesuai dengan ketersediaan Apotek
Satuan Jual:
Per Strip Aturan Pakai
Obat dapat diminum sebelum atau sesudah makan Obat Bebas (Hijau)";Analgesik, Antipiretik
TEMPRA SIRUP RASA ANGGUR 30 ML / 60 ML / 100 ML - 60 mL Tempra Syrup (Rasa Anggur) Menurunkan panas, meredakan nyeri Untuk anak usia 1 6 tahun Komposisi: Setiap 5 ml Tempra Syrup mengandung 160 mg paracetamol. Tempra Syrup mengandung paracetamol yang bekerja sebagai antipiretika pada pusat pengaturan suhu di otak dan analgetika dengan meningkatkan ambang rasa sakit Indikasi: Untuk meredakan demam, rasa sakit dan nyeri ringan, sakit kepala dan sakit gigi, demam setelah imunisasi atau atas petunjuk dokter Dosis: Gunakan sesuai anjuran dokter, bila perlu satu dosis setiap 4 jam, namun tidak lebih dari 5 kali sehari Umur Dosis Dibawah 2 tahun Sesuai petunjuk dokter/gunakan Tempra Drops 2 3 tahun 5 ml 4 5 tahun 7.5 ml 6 8 tahun 10 ml atau gunakan Tempra Forte Tersedia gelas takar dengan dosis yang tepat di dalam kemasan Kelebihan dosis: paracetamol dalam dosis berlebih dapat menimbulkan keracunan hati pada beberapa penderita. Bila hal ini terjadi, segera hubungi Rumah Sakit terdekat. Peringatan: Bila masih demam lebih dari 2 hari (48 jam) atau bila masih merasa sakit (nyeri) lebih dari 5 hari, hubungi dokter anda. Seperti halnya dengan obat-obat lain, jika anda hamil atau menyusui bayi, mintalah nasihat dokter sebelum menggunakan obat ini. Efek samping: Penggunaan dosis tinggi dapat menimbulkan kerusakan hati, reaksi hipersensitif Kontraindikasi: Jangan digunakan pada penderita kerusakan hati dan alergi terhadap paracetamol Simpan dibawah suhu 30 C lindungi terhadap cahaya No. Reg: DBL 1124403137A1 Dibuat oleh: PT Taisho Pharmaceutical Indonesia Tbk. Depok, Indonesia Dibawah pengawasan Taisho Pharmaceutical Co. Ltd. Tokyo, Japan;Analgesik, Antipiretik
